index,n_methods,total_time_min,baseline_equal_gCO2,rel_diff_median,rel_diff_p10,rel_diff_p90,abs_rel_diff_median,abs_rel_diff_p90
E1950,3,60,538.2188866780971,-0.004044273329654319,-0.1702367446566315,0.15363177307375664,0.08903684127036159,0.20575611286665774
E1951,2,30,60.87316007778264,0.0006217113482692019,-0.01401605131453407,0.015828825791780105,0.007665399181893601,0.019174834202856067
E1954,2,30,12.142841345756002,1.4628840061565148e-16,-1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16
E1958,3,35,64.24997610404093,-0.0006178232985049473,-0.014105126183014365,0.013976946260880972,0.007953877600129205,0.016917388252213394
E196,2,120,48.365920151416375,2.938195876500004e-16,0.0,2.938195876500004e-16,2.938195876500004e-16,2.938195876500004e-16
E1960,2,35,14.15523461273714,-2.5098232392444447e-16,-3.764734858866667e-16,-1.2549116196222224e-16,2.5098232392444447e-16,3.764734858866667e-16
E1969,2,20,16.8536998854609,0.001766406692656249,-0.03898026353326914,0.041453853420402066,0.02230472325201764,0.04938277670594405
E197,2,17,6.91061885160506,0.0,-2.570474334563646e-16,0.0,0.0,2.570474334563646e-16
E1970,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E1971,3,25,19.559718156058818,0.0026230318295211415,-0.03047126068644085,0.032903280312599203,0.01852784458222518,0.03987447884953269
E1976,2,30,18.84326590448563,0.0024857940226248247,-0.053187307963421505,0.05339970066010986,0.028686305514923335,0.06694899553710486
E1977,2,15,57.83174292935454,-0.00013090923834776344,-0.008419070244210002,0.009213441359114886,0.0048384900191372595,0.010620624522040295
E1978,2,18,7.313097505001286,0.0,-2.4290074598149884e-16,1.2145037299074942e-16,0.0,2.4290074598149884e-16
E1979,2,15,6.105661544812606,1.4546800755025884e-16,-1.4546800755025884e-16,1.4546800755025884e-16,1.4546800755025884e-16,1.4546800755025884e-16
E1981,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E1983,2,90,72.92469243171303,-0.00020226663374390126,-0.04261292105394195,0.04182524668902535,0.02194479234216635,0.0523098019917022
E1986,3,25,61.56678508139942,0.0009138403700935825,-0.009689418221129975,0.010444368181469755,0.0056709930738008665,0.01273267189183093
E1987,2,20,16.8308726375045,0.0005591379575655151,-0.040000581270855075,0.04030332451726085,0.02005871632480545,0.050211996536563025
E1988,3,45,66.93316712668245,0.0005151961451250698,-0.016042487193599762,0.016297422530712542,0.008632771299470807,0.0199769460712951
E1989,2,35,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E1990,2,40,20.855659171466762,-0.0010032657083335595,-0.06358025556159065,0.06093160650776073,0.03218334283126316,0.0790631601948531
E1991,3,20,70.30243015506659,0.00019931682101290694,-0.007414306094685305,0.007557323977515167,0.004135387636280992,0.009211699978695018
E1994,2,25,653.5833333333334,-0.0005154722090217111,-0.07643545734853716,0.08398316470015764,0.04349473945558382,0.0986309404373902
E1995,3,25,19.559718156058818,-0.0013164677403874705,-0.03209514251489666,0.03222309723901867,0.017825308149814333,0.041143617128521055
E1996,2,25,59.84413619633567,7.370495436304924e-05,-0.013387786897743226,0.014493489017737596,0.007639779806290981,0.01668756808912419
E1997,2,25,17.85989651895147,6.4782451526533465e-06,-0.05063804040188166,0.044431224183192716,0.025252508047009598,0.05836318533168687
E1998,2,15,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E1999,3,15,16.876527133417305,-0.0010236100950645364,-0.021784610547160653,0.022192693994417756,0.013006777249443154,0.028254774801173332
E2,2,45,63.86892273029794,0.0005993573988857946,-0.022714771284880468,0.02405047738449902,0.012941872921163862,0.029798986214277234
E2000,4,40,300.57504725938685,0.003035703040924171,-0.1607892641527986,0.16374282222878253,0.08780358429266244,0.1945364226426639
E2003,2,40,62.86272609680737,0.00040711339932259275,-0.02172414549096287,0.02281732627696512,0.012094454048629431,0.02710649920327825
E2004,2,15,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2007,2,15,191.03325885558584,-0.002741244003596295,-0.16876426625099286,0.16587883215403004,0.08744656724211608,0.20238797804644898
E2009,3,20,60.22518957007867,0.00020200079318778496,-0.008302029094562192,0.008568540598047908,0.004852247147727508,0.01069424948380233
E2011,2,30,18.84326590448563,0.002047241208977418,-0.048103310503972894,0.055942126686201514,0.026162691609841894,0.06407758173119359
E2013,2,90,36.29156054952959,0.0,-1.9578731942110166e-16,1.9578731942114618e-17,0.0,1.9578731942110166e-16
E2014,2,25,10.13044807877487,0.0,-1.7534829906705122e-16,1.7534829906705122e-16,1.7534829906705122e-16,1.7534829906705122e-16
E2016,2,25,17.837069270995066,0.003117264941795395,-0.04500693281352836,0.048701585100639516,0.02499881392581757,0.05943757382726227
E2017,2,20,67.57358463651227,0.0,0.0,0.0,0.0,0.0
E2024,2,60,24.880445705429025,-0.009718921793966603,-0.084476963577706,0.07781085265313051,0.04162270975771633,0.0996158546405116
E2028,2,30,60.87316007778264,0.0003231073015601455,-0.01704663531948065,0.015406779778563274,0.009167712680828742,0.020410401024828453
E2030,2,60,24.217200947642795,1.467020770270442e-16,0.0,2.934041540540884e-16,1.467020770270442e-16,2.934041540540884e-16
E2034,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E2035,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E2038,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E2043,2,25,59.84413619633567,0.0005164475605154732,-0.014229690303041274,0.01370433090714881,0.007654293609848474,0.016893633077145573
E2044,2,20,58.83793956284511,0.0007746629416154212,-0.012251990132881694,0.01126326200114281,0.006250167989338598,0.01434621030156533
E2050,2,20,58.83793956284511,-0.00023408483790979167,-0.011326226381937232,0.01035434097481282,0.006148704047489311,0.01320817697192699
E2052,2,30,60.850332829826236,0.00013901292720984074,-0.01613043013704231,0.0163574941412767,0.008209019208802872,0.020258642545498966
E206,2,15,57.85457017731094,-7.861606408016802e-05,-0.009475916884236595,0.009186481152916329,0.0049606771209465255,0.01125615786910419
E2061,2,30,60.87316007778264,0.00036247839630665173,-0.015988837317060547,0.016166704896778728,0.008664333038418173,0.019943436633652414
E2062,2,45,63.86892273029794,0.0008490837250593418,-0.02234098570432834,0.023726435734674384,0.0116633751139775,0.02909649319906353
E2070,2,30,60.87316007778264,0.00011958342424580278,-0.015562134858799835,0.017215652072130234,0.0088906605307716,0.020866040487582286
E2071,2,30,18.84326590448563,-0.00018318553807790134,-0.050467310778942856,0.05346047994457537,0.027150881607670596,0.06518736446451355
E2074,2,20,58.83793956284511,0.0004275999547809575,-0.012296050406095565,0.01159369715007113,0.006351356626296516,0.014436667291498258
E2075,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E208,2,80,32.26677401556732,2.2020879292652376e-16,0.0,4.404175858530475e-16,2.2020879292652376e-16,4.404175858530475e-16
E2082,3,30,62.90838059272018,-0.0004925902204005739,-0.012291213572298815,0.011665386086323701,0.006732236526141104,0.01456788792328429
E2085,4,25,72.67304954783431,0.00018840094035090584,-0.007891295259808981,0.007410834637503736,0.0038573667695504382,0.010161318786899173
E2086,2,300,120.81207776273715,0.0,-1.1762776519008889e-16,1.1762776519008889e-16,0.0,2.3525553038017777e-16
E2087,2,25,10.275346317902937,0.0,-1.7287561746753676e-16,0.0,0.0,1.7287561746753676e-16
E2090,2,45,63.86892273029794,0.0008791903680486525,-0.022569554984819027,0.023849391869774122,0.012673696691834404,0.029223171975949546
E2092,3,25,70.95040066277056,0.0007537173534377559,-0.008527698681199203,0.009115614527619066,0.0048902855865988505,0.011122056623112402
E2095,3,20,189.49634405152435,-0.0047397303318034295,-0.13602915558362216,0.1328556937641904,0.07061899881906479,0.16583865210054993
E2097,2,45,63.86892273029794,-0.0005476408745636923,-0.02436019162023221,0.02289345764535976,0.012769914750849959,0.029130478335786934
E2103,2,40,404.09522756383734,-0.0004928069596021605,-0.15168865212046845,0.14698331104469228,0.08198746494421638,0.18972403668508378
E2104,2,120,78.96187223265642,-0.0017340618704358374,-0.05200302256925214,0.049004232477396686,0.028303765116683026,0.05984413850239901
E2107,3,30,214.8536998854609,0.01663477329516308,-0.16359984764119054,0.1815870801696017,0.09953175528379296,0.20744968640294317
E2109,2,20,58.83793956284511,-0.000166529632510476,-0.011670767696769049,0.01045486459496351,0.005606133547447803,0.013950631975795663
E2112,3,50,391.5211305854866,-0.005750448180589052,-0.16442746763840696,0.1406959865799754,0.08699006103121892,0.18895336159126058
E2113,2,40,62.86272609680737,7.191050374565844e-05,-0.020490190515154477,0.021084634055980874,0.010177335615726915,0.025211021373437618
E2114,2,30,351.7903257809264,-0.005287633362259466,-0.14031853576214084,0.13196322586455286,0.0691025803303092,0.16608834665934005
E2115,2,30,60.850332829826236,-1.9993591524928652e-05,-0.015452782941851095,0.016065102026972974,0.008900294706499539,0.02013457871042811
E2118,2,20,58.86076681080151,0.0001002890763519465,-0.011080688323066233,0.011371990864131671,0.006059784594892174,0.013599265615804972
E2119,2,20,58.86076681080151,-6.705110689813687e-05,-0.01093544072270728,0.011598708953747068,0.00625166219653782,0.014400555644820987
E2124,2,20,8.118054811793737,2.1881557597019388e-16,0.0,4.3763115194038776e-16,2.1881557597019388e-16,4.3763115194038776e-16
E2125,2,20,252.79032578092642,-0.0006850712759906557,-0.12439025514183844,0.13466420753471597,0.06940868814307938,0.15921722547620407
E2127,2,30,12.142841345756002,1.4628840061565148e-16,-1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16
E2131,2,30,60.850332829826236,-0.0006179789681238807,-0.015812717574957818,0.01635427552216825,0.007817246343923882,0.019546571360768872
E2133,2,25,10.13044807877487,0.0,-1.7534829906705122e-16,1.7534829906705122e-16,1.7534829906705122e-16,1.7534829906705122e-16
E2134,2,40,16.167627879718268,0.0,0.0,2.197424201763858e-16,0.0,2.197424201763858e-16
E2136,2,300,120.81207776273715,0.0,-2.3525553038017777e-16,1.1762776519008889e-16,0.0,2.3525553038017777e-16
E2137,2,60,66.91033987872603,-0.000979237934883589,-0.029289663715865773,0.03007703244788838,0.016192645985434607,0.038287359873659756
E214,2,20,58.83793956284511,-7.599800986773432e-05,-0.011466202607729521,0.010294975824626103,0.006097048706609684,0.013580063089421248
E2142,2,40,21.00055741059483,0.0001688607130369027,-0.06562428271931428,0.07074233077892449,0.03439842020709224,0.08078551925184228
E2143,2,35,61.856529463316804,0.000800712986754181,-0.02029287492610954,0.020235048868994146,0.01085025903861642,0.024193627953739655
E2146,3,120,87.05709979649376,0.0008917400996071813,-0.030778759755964887,0.035595496027627745,0.018969500750103924,0.04155539670212966
E2148,2,20,58.83793956284511,-0.00010709254322688899,-0.010636872434972638,0.012152282547487082,0.006248425169809103,0.01457594756857379
E2149,2,30,12.142841345756002,1.4628840061565148e-16,-1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16,1.4628840061565148e-16
E2152,2,15,6.105661544812606,1.4546800755025884e-16,-1.4546800755025884e-16,1.4546800755025884e-16,1.4546800755025884e-16,1.4546800755025884e-16
E2153,2,45,18.180021146699403,0.0,-3.9083713381109006e-16,0.0,0.0,3.9083713381109006e-16
E2155,3,60,28.9508867353041,-0.004073352449277538,-0.0565263054199391,0.052803297464425754,0.029726564522445507,0.0664662337867447
E2156,3,20,60.22518957007867,-0.0003674477621193712,-0.008232317138012028,0.007724087878872588,0.00458101531433232,0.009725880946541811
E2159,2,60,648.7903257809264,0.005329860298381339,-0.14812710230705534,0.16052110355754956,0.08937659169177002,0.1988356769397741
E2164,2,60,648.7903257809264,0.010730954700806546,-0.14460082795557908,0.1518153734063569,0.08397051224954279,0.1849914404606936
E2165,3,30,62.90838059272018,0.0008316191627962463,-0.011171510779438204,0.01284924126078789,0.006755361856919809,0.01530497483927139
E2166,2,120,78.96187223265642,-0.0014706282342806859,-0.049431119969313306,0.050749699947196414,0.027507308345503544,0.0620861322855574
E2168,3,40,65.59157161536169,-0.000263593774478527,-0.014228755661736734,0.016746542228268203,0.008767460215164273,0.019655734817114155
E2169,2,30,60.850332829826236,-0.00026728986052984663,-0.01866015256912196,0.015710355018606466,0.0095075560380959,0.02064168140595307
